vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE_S00087,aprobada,mayoria_simple,118,59,86,32,0,0,27,O12|O15,2
VE_S00088,aprobada,mayoria_simple,112,56,89,0,23,0,33,O15,1
VE_S00089,aprobada,mayoria_simple,103,52,103,0,0,0,51,,0
VE_S00090,rechazada,mayoria_simple,113,57,22,86,5,0,29,O12|O15,2
VE_S00091,aprobada,mayoria_simple,102,51,74,28,0,0,23,O12|O15,2
VE_S00092,aprobada,mayoria_simple,96,48,96,0,0,0,48,,0
VE_S00093,aprobada,mayoria_simple,99,50,99,0,0,0,49,,0
VE_S00094,aprobada,mayoria_simple,92,46,92,0,0,0,46,,0
VE_S00095,aprobada,mayoria_simple,105,53,105,0,0,0,52,,0
VE_S00096,aprobada,mayoria_simple,99,50,77,22,0,0,27,O15,1
VE_S00097,aprobada,mayoria_simple,104,52,103,0,1,0,51,,0
VE_S00098,aprobada,mayoria_simple,99,50,99,0,0,0,49,,0
VE_S00099,aprobada,mayoria_simple,91,46,90,0,1,0,44,,0
VE_S00100,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00101,aprobada,mayoria_simple,86,43,85,0,1,0,42,,0
VE_S00102,aprobada,mayoria_simple,104,52,102,0,2,0,50,,0
VE_S00103,aprobada,mayoria_simple,106,53,106,0,0,0,53,,0
VE_S00104,aprobada,mayoria_simple,103,52,103,0,0,0,51,,0
VE_S00105,aprobada,mayoria_simple,85,43,85,0,0,0,42,,0
VE_S00106,aprobada,mayoria_calificada,107,991,107,0,0,0,-884,O12|O13|O15|O18|O19,5
VE_S00107,aprobada,mayoria_simple,104,52,103,0,1,0,51,,0
VE_S00108,aprobada,mayoria_simple,99,50,98,0,1,0,48,,0
VE_S00109,aprobada,mayoria_simple,86,43,86,0,0,0,43,,0
VE_S00110,aprobada,mayoria_simple,92,46,92,0,0,0,46,,0
VE_S00111,aprobada,mayoria_simple,94,47,94,0,0,0,47,,0
VE_S00112,aprobada,mayoria_simple,77,39,56,19,2,0,17,O12|O15,2
VE_S00113,aprobada,mayoria_simple,76,38,76,0,0,0,38,,0
VE_S00114,aprobada,mayoria_simple,107,54,107,0,0,0,53,,0
VE_S00115,aprobada,mayoria_simple,104,52,104,0,0,0,52,,0
VE_S00116,aprobada,mayoria_simple,95,48,85,9,1,0,37,O15,1
VE_S00117,aprobada,mayoria_simple,90,45,71,19,0,0,26,O15,1
VE_S00118,aprobada,mayoria_simple,91,46,58,29,4,0,12,O12|O15,2
VE_S00119,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00120,aprobada,mayoria_simple,86,43,86,0,0,0,43,,0
VE_S00121,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00122,aprobada,mayoria_simple,85,43,85,0,0,0,42,,0
VE_S00123,aprobada,mayoria_simple,87,44,71,15,1,0,27,O15,1
VE_S00124,aprobada,mayoria_simple,88,44,88,0,0,0,44,,0
VE_S00125,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00126,aprobada,mayoria_simple,83,42,83,0,0,0,41,,0
VE_S00127,aprobada,mayoria_simple,85,43,85,0,0,0,42,,0
VE_S00128,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00129,aprobada,mayoria_simple,86,43,86,0,0,0,43,,0
VE_S00130,aprobada,mayoria_simple,84,42,61,22,1,0,19,O12|O15,2
VE_S00131,aprobada,mayoria_simple,76,38,76,0,0,0,38,,0
VE_S00132,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00133,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00134,aprobada,mayoria_simple,76,38,76,0,0,0,38,,0
VE_S00135,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00136,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00137,aprobada,mayoria_simple,83,42,83,0,0,0,41,,0
VE_S00138,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00139,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00140,aprobada,mayoria_simple,85,43,85,0,0,0,42,,0
VE_S00141,aprobada,mayoria_simple,95,48,95,0,0,0,47,,0
VE_S00142,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00143,aprobada,mayoria_simple,93,47,93,0,0,0,46,,0
VE_S00144,aprobada,mayoria_simple,88,44,88,0,0,0,44,,0
VE_S00145,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00146,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00147,aprobada,mayoria_simple,78,39,78,0,0,0,39,,0
VE_S00148,aprobada,mayoria_simple,76,38,76,0,0,0,38,,0
VE_S00149,aprobada,mayoria_simple,85,43,85,0,0,0,42,,0
VE_S00150,aprobada,mayoria_simple,79,40,79,0,0,0,39,,0
VE_S00151,aprobada,mayoria_simple,80,40,80,0,0,0,40,,0
VE_S00152,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00153,aprobada,mayoria_simple,91,46,67,23,1,0,21,O12|O15,2
VE_S00154,aprobada,mayoria_simple,87,44,82,0,5,0,38,,0
VE_S00155,aprobada,mayoria_simple,82,41,82,0,0,0,41,,0
VE_S00156,aprobada,mayoria_calificada,109,991,109,0,0,0,-882,O12|O13|O15|O18|O19,5
VE_S00157,aprobada,mayoria_simple,107,54,106,0,1,0,52,,0
VE_S00158,aprobada,mayoria_calificada,122,991,111,11,0,0,-880,O12|O13|O15|O18|O19,5
VE_S00159,aprobada,mayoria_calificada,118,991,107,11,0,0,-884,O12|O13|O15|O18|O19,5
VE_S00160,aprobada,mayoria_calificada,113,991,106,7,0,0,-885,O12|O13|O15|O18|O19,5
VE_S00161,aprobada,mayoria_calificada,112,991,107,1,4,0,-884,O12|O13|O15|O18|O19,5
VE_S00162,aprobada,mayoria_simple,112,56,112,0,0,0,56,,0
VE_S00163,aprobada,mayoria_simple,113,57,113,0,0,0,56,,0
VE_S00164,aprobada,mayoria_simple,112,56,82,29,1,0,26,O12|O15,2
VE_S00165,aprobada,mayoria_simple,110,55,85,25,0,0,30,O12|O15,2
VE_S00166,aprobada,mayoria_simple,110,55,109,0,1,0,54,,0
VE_S00167,aprobada,mayoria_simple,108,54,86,22,0,0,32,O12|O15,2
VE_S00168,aprobada,mayoria_simple,108,54,83,25,0,0,29,O12|O15,2
VE_S00169,aprobada,mayoria_simple,105,53,82,23,0,0,29,O15,1
VE_S00170,aprobada,mayoria_simple,106,53,78,26,2,0,25,O12|O15,2
VE_S00171,aprobada,mayoria_simple,98,49,71,25,2,0,22,O12|O15,2
VE_S00172,aprobada,mayoria_simple,114,57,114,0,0,0,57,,0
VE_S00173,aprobada,mayoria_simple,109,55,109,0,0,0,54,,0
VE_S00174,aprobada,mayoria_simple,109,55,109,0,0,0,54,,0
VE_S00175,aprobada,mayoria_calificada,118,991,118,0,0,0,-873,O12|O13|O15|O18|O19,5
VE_S00176,aprobada,mayoria_calificada,114,991,101,0,13,0,-890,O12|O13|O15|O18|O19,5
VE_S00177,aprobada,mayoria_simple,100,50,100,0,0,0,50,,0
VE_S00178,aprobada,mayoria_simple,98,49,97,0,1,0,48,,0
VE_S00179,aprobada,mayoria_simple,94,47,94,0,0,0,47,,0
VE_S00180,aprobada,mayoria_simple,95,48,94,0,1,0,46,,0
VE_S00181,aprobada,mayoria_simple,97,49,80,15,2,0,31,O15,1
VE_S00182,aprobada,mayoria_simple,89,45,82,0,7,0,37,,0
VE_S00183,aprobada,mayoria_simple,80,40,80,0,0,0,40,,0
VE_S00184,rechazada,mayoria_simple,103,52,44,59,0,0,7,O12|O15|O18,3
VE_S00185,aprobada,mayoria_simple,100,50,79,18,3,0,29,O12|O15,2
VE_S00186,aprobada,mayoria_simple,95,48,95,0,0,0,47,,0
VE_S00187,aprobada,mayoria_simple,99,50,99,0,0,0,49,,0
VE_S00188,aprobada,mayoria_simple,94,47,94,0,0,0,47,,0
VE_S00189,aprobada,mayoria_simple,98,49,98,0,0,0,49,,0
VE_S00190,aprobada,mayoria_simple,99,50,99,0,0,0,49,,0
VE_S00191,aprobada,mayoria_simple,98,49,98,0,0,0,49,,0
VE_S00192,aprobada,mayoria_simple,98,49,98,0,0,0,49,,0
VE_S00193,aprobada,mayoria_simple,80,40,80,0,0,0,40,,0
VE_S00194,aprobada,mayoria_simple,78,39,78,0,0,0,39,,0
VE_S00195,aprobada,mayoria_simple,81,41,81,0,0,0,40,,0
VE_S00196,aprobada,mayoria_simple,79,40,79,0,0,0,39,,0
